,school_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,school_latitude,school_longitude,n_y1,n_low_income_y1,n_special_y1,n_english_learn_y1,n_hispanic_y1,n_y2,n_low_income_y2,n_special_y2,n_english_learn_y2,n_hispanic_y2,community_name,n_non_english_learn_y1,n_non_english_learn_y2,d_total,d_low_income,d_english_learn,d_non_english_learn,d_hispanic,pct_total,pct_low_income,pct_english_learn,pct_non_english_learn,pct_hispanic
28,609709,GAGE PARK HS,Gage Park High School,HS,True,False,False,False,41.791013,-87.688954,330,277,60,128,217,347,294,65,136,239,GAGE PARK,202,211,17,17,8,9,22,5.151515151515151,6.137184115523466,6.25,4.455445544554456,10.138248847926267
29,610123,PENN,William Penn Elementary School,ES,False,True,True,True,41.858372,-87.722386,220,168,48,9,14,220,162,52,8,14,NORTH LAWNDALE,211,212,0,-6,-1,1,0,0.0,-3.5714285714285716,-11.11111111111111,0.47393364928909953,0.0
30,610558,GOODE HS,Sarah E. Goode STEM Academy,HS,True,False,False,False,41.75375,-87.707345,961,828,162,179,644,953,820,164,194,645,ASHBURN,782,759,-8,-8,15,-23,1,-0.8324661810613944,-0.966183574879227,8.379888268156424,-2.9411764705882355,0.15527950310559005
31,609837,CARNEGIE,Andrew Carnegie Elementary School,ES,False,True,True,False,41.783368,-87.590795,437,323,74,3,8,403,305,57,4,6,WOODLAWN,434,399,-34,-18,1,-35,-2,-7.780320366132723,-5.572755417956657,33.333333333333336,-8.064516129032258,-25.0
32,400173,PATHWAYS - BRIGHTON PARK HS,Pathways in Education- Brighton Park,HS,True,False,False,False,41.808226,-87.702645,454,355,69,103,419,405,351,65,103,364,BRIGHTON PARK,351,302,-49,-4,0,-49,-55,-10.79295154185022,-1.1267605633802817,0.0,-13.96011396011396,-13.126491646778042
33,609929,FULTON,Robert Fulton Elementary School,ES,False,True,True,True,41.79758,-87.668436,301,251,60,135,206,327,252,47,156,242,NEW CITY,166,171,26,1,21,5,36,8.637873754152825,0.398406374501992,15.555555555555555,3.0120481927710845,17.475728155339805
34,610174,SHIELDS,James Shields Elementary School,ES,False,False,True,True,41.815909,-87.689647,469,360,66,213,456,481,377,90,192,464,BRIGHTON PARK,256,289,12,17,-21,33,8,2.55863539445629,4.722222222222222,-9.859154929577464,12.890625,1.7543859649122806
35,610057,FAIRFIELD,Fairfield Elementary Academy,ES,False,True,True,True,41.780904,-87.692115,485,422,63,274,387,470,393,65,280,394,CHICAGO LAWN,211,190,-15,-29,6,-21,7,-3.0927835051546393,-6.872037914691943,2.18978102189781,-9.95260663507109,1.8087855297157622
36,609744,NORTHSIDE LEARNING HS,Northside Learning Center High School,HS,True,False,False,False,41.982973,-87.722386,264,195,263,104,142,275,214,275,114,153,NORTH PARK,160,161,11,19,10,1,11,4.166666666666667,9.743589743589743,9.615384615384615,0.625,7.746478873239437
37,400051,NOBLE - NOBLE HS,Noble - Noble College Prep,HS,True,False,False,False,41.900191,-87.662628,652,513,98,134,527,670,512,85,161,524,WEST TOWN,518,509,18,-1,27,-9,-3,2.7607361963190185,-0.1949317738791423,20.149253731343283,-1.7374517374517375,-0.5692599620493358
38,610088,MOZART,Wolfgang A Mozart Elementary School,ES,False,True,True,True,41.92091,-87.721888,487,399,92,292,440,482,327,94,291,435,LOGAN SQUARE,195,191,-5,-72,-1,-4,-5,-1.0266940451745379,-18.045112781954888,-0.3424657534246575,-2.051282051282051,-1.1363636363636365
39,610101,OGDEN ES,William B Ogden Elementary School,ES,False,True,True,True,41.899976,-87.629297,860,372,94,122,112,895,357,99,175,173,NEAR NORTH SIDE,738,720,35,-15,53,-18,61,4.069767441860465,-4.032258064516129,43.442622950819676,-2.4390243902439024,54.464285714285715
40,610043,LOVETT,Joseph Lovett Elementary School,ES,False,True,True,True,41.912718,-87.783919,312,233,50,27,58,336,246,50,52,80,AUSTIN,285,284,24,13,25,-1,22,7.6923076923076925,5.579399141630901,92.5925925925926,-0.3508771929824561,37.93103448275862
41,610105,ORIOLE PARK,Oriole Park Elementary School,ES,False,True,True,True,41.978501,-87.812054,597,117,63,53,168,586,118,66,60,165,NORWOOD PARK,544,526,-11,1,7,-18,-3,-1.8425460636515913,0.8547008547008547,13.20754716981132,-3.3088235294117645,-1.7857142857142858
42,610221,WEBSTER,Daniel Webster Elementary School,ES,False,True,True,True,41.869916,-87.727524,207,144,34,0,1,206,145,35,0,1,WEST GARFIELD PARK,207,206,-1,1,0,-1,0,-0.4830917874396135,0.6944444444444444,,-0.4830917874396135,0.0
43,610097,NIXON,William P Nixon Elementary School,ES,False,False,True,True,41.919581,-87.73142,593,457,77,322,566,644,473,79,373,614,HERMOSA,271,271,51,16,51,0,48,8.600337268128161,3.50109409190372,15.838509316770187,0.0,8.480565371024735
44,610192,STOWE,Harriet Beecher Stowe Elementary School,ES,False,True,True,True,41.911938,-87.713318,562,449,93,277,492,507,395,106,237,442,HUMBOLDT PARK,285,270,-55,-54,-40,-15,-50,-9.786476868327401,-12.026726057906458,-14.440433212996389,-5.2631578947368425,-10.16260162601626
45,609782,AUDUBON,John J Audubon Elementary School,ES,False,True,True,True,41.945062,-87.681041,573,51,51,24,99,603,54,56,32,95,NORTH CENTER,549,571,30,3,8,22,-4,5.2356020942408374,5.882352941176471,33.333333333333336,4.007285974499089,-4.040404040404041
46,400085,ACERO - GARCIA HS,Acero Charter Schools - Major Hector P. Garcia MD,HS,True,False,False,False,41.809171,-87.730467,638,551,121,261,616,627,534,111,259,608,ARCHER HEIGHTS,377,368,-11,-17,-2,-9,-8,-1.7241379310344827,-3.0852994555353903,-0.7662835249042146,-2.387267904509284,-1.2987012987012987
47,610245,DOUGLASS HS,Frederick A Douglass Academy High School,HS,True,False,False,False,41.890369,-87.767668,33,30,11,0,1,35,32,8,0,1,AUSTIN,33,35,2,2,0,2,0,6.0606060606060606,6.666666666666667,,6.0606060606060606,0.0
48,609698,BOGAN HS,William J Bogan High School,HS,True,False,False,False,41.749376,-87.721097,637,508,158,119,262,570,450,144,121,259,ASHBURN,518,449,-67,-58,2,-69,-3,-10.518053375196232,-11.417322834645669,1.680672268907563,-13.32046332046332,-1.1450381679389312
49,400145,YCCS - YOUTH CONNECTION,YCCS-Youth Connection Leadership Acad HS,HS,True,False,False,False,41.832072,-87.626781,97,79,21,2,12,99,75,25,2,9,LOWER WEST SIDE,95,97,2,-4,0,2,-3,2.0618556701030926,-5.063291139240507,0.0,2.1052631578947367,-25.0
50,610180,SMYTH,John M Smyth Elementary School,ES,False,True,True,True,41.865351,-87.653445,396,276,66,7,17,369,302,70,5,18,NEAR WEST SIDE,389,364,-27,26,-2,-25,1,-6.818181818181818,9.420289855072463,-28.571428571428573,-6.426735218508997,5.882352941176471
51,610364,DUBOIS,William E B Dubois Elementary School,ES,False,True,True,True,41.653733,-87.61432,202,153,37,3,8,187,152,40,3,11,RIVERDALE,199,184,-15,-1,0,-15,3,-7.425742574257426,-0.6535947712418301,0.0,-7.5376884422110555,37.5
52,609952,GREENE,Nathanael Greene Elementary School,ES,False,False,True,True,41.829669,-87.671492,303,235,49,154,263,310,239,51,156,259,MCKINLEY PARK,149,154,7,4,2,5,-4,2.31023102310231,1.702127659574468,1.2987012987012987,3.3557046979865772,-1.520912547528517
53,609927,FOSTER PARK,Foster Park Elementary School,ES,False,True,True,True,41.738425,-87.668099,297,210,87,1,8,341,215,112,4,17,AUBURN GRESHAM,296,337,44,5,3,41,9,14.814814814814815,2.380952380952381,300.0,13.85135135135135,112.5
54,610593,OMBUDSMAN - ROSELAND HS,Ombudsman Chicago - Roseland,HS,True,False,False,False,41.695105,-87.642816,161,119,32,4,7,132,103,28,4,14,MORGAN PARK,157,128,-29,-16,0,-29,7,-18.012422360248447,-13.445378151260504,0.0,-18.471337579617835,100.0
55,610063,MCCORMICK,Cyrus H McCormick Elementary School,ES,False,False,True,True,41.842267,-87.7063,445,339,78,217,433,429,332,86,185,415,SOUTH LAWNDALE,228,244,-16,-7,-32,16,-18,-3.595505617977528,-2.0648967551622417,-14.746543778801843,7.017543859649122,-4.157043879907621
